time,open,high,low,close,volume
2025-09-21 03:59:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 04:00:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 04:01:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 04:02:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 04:03:00,33.29,33.3,33.29,33.3,1.0
2025-09-21 04:04:00,33.3,33.3,33.3,33.3,0.0
2025-09-21 04:05:00,33.3,33.3,33.3,33.3,0.0
2025-09-21 04:06:00,33.3,33.3,33.3,33.3,0.0
2025-09-21 04:07:00,33.24,33.24,33.19,33.19,347.56972388
2025-09-21 04:08:00,33.19,33.19,33.19,33.19,0.0
2025-09-21 04:09:00,33.13,33.13,33.11,33.11,253.7837507
2025-09-21 04:10:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:11:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:12:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:13:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:14:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:15:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:16:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:17:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:18:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:19:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:20:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:21:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:22:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:23:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:24:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:25:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:26:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:27:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:28:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:29:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:30:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:31:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:32:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:33:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:34:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:35:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:36:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:37:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:38:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:39:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:40:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:41:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:42:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:43:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:44:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:45:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:46:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:47:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:48:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:49:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:50:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:51:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:52:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:53:00,33.11,33.11,33.11,33.11,0.0
2025-09-21 04:54:00,33.04,33.04,33.04,33.04,3.64300545
2025-09-21 04:55:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 04:56:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 04:57:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 04:58:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 04:59:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:00:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:01:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:02:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:03:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:04:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:05:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:06:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:07:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:08:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:09:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:10:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:11:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:12:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:13:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:14:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:15:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:16:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:17:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:18:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:19:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:20:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:21:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:22:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:23:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:24:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:25:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:26:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:27:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:28:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:29:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:30:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:31:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:32:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:33:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:34:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:35:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:36:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:37:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:38:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:39:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 05:40:00,33.0,33.0,33.0,33.0,145.26438118
2025-09-21 05:41:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:42:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:43:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:44:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:45:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:46:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:47:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:48:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:49:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:50:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:51:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:52:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:53:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:54:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:55:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:56:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:57:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:58:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 05:59:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:00:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:01:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:02:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:03:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:04:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:05:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:06:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:07:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:08:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:09:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:10:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:11:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:12:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:13:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:14:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:15:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:16:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:17:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:18:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:19:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:20:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:21:00,33.0,33.0,33.0,33.0,0.0
